genesymbol	entrezgene
Abcg2	26357
Hsf4	26386
Cops6	26893
Sh2d1b1	26904
Fam171a1	269233
Gtf3c4	269252
Rtn4rl2	269295
Pla2g2e	26970
Ttll13	269954
Nup98	269966
Lrrc36	270091
AU019823	270156
Srp9	27058
Azi2	27215
Esyt3	272636
Nufip1	27275
Insl6	27356
Rps26	27370
Prmt5	27374
Pign	27392
Mrpl15	27395
Gm13777	279067
Wnk3	279561
Spg21	27965
Fam3c	27999
B3gat2	280645
Reep3	28193
Olfr156	29846
Clic4	29876
Fkbp3	30795
Glrx3	30926
Lcmt1	30949
Hist1h2an	319170
9530080O11Rik	319247
E430002N23Rik	319440
Dpep2	319446
Wdr59	319481
9930038B18Rik	319503
Syt15	319508
Vwc2	319922
9530052C20Rik	320229
Vwc2l	320460
F630111L10Rik	320463
D830044D21Rik	320621
A630066F11Rik	320642
Trappc11	320714
D330023K18Rik	320973
Dtd2	328092
Rnf182	328234
Gm807	328320
Gm5092	328766
Prss34	328780
Gm5093	328825
Zfp516	329003
Wt1os	329480
Ctdspl2	329506
Fnip2	329679
Zfp82	330502
4933400C23Rik	331003
Gmppb	331026
Zfp781	331188
LOC331528	331528
Bend3	331623
A4gnt	333424
Tmem241	338363
Rnu11	353373
Dio3os	353504
4833422C13Rik	373852
Vaultrc5	378472
Rsl1	380855
Gm933	381043
Ccdc58	381045
Rmdn2	381110
Gm996	381353
Gm12789	381536
2610005L07Rik	381598
Thap6	381650
Drc1	381738
Igkv4-50	381782
Gipr	381853
A830080D01Rik	382252
Cdkl5	382253
Gm5169	382277
Best3	382427
Rpl21-ps4	382843
Kctd16	383348
Gpr25	383563
Gm5263	383571
Eif1-ps3	383712
Igkv4-68	384515
Zfp667	384763
Gm5409	386551
Mir20a	387139
Mir210	387206
Mir30a	387225
Mir99a	387229
Opa3	403187
BC037438	403345
BC024978	414069
4930417H01Rik	414106
D630024D03Rik	414116
F830002L21Rik	414125
G630018N14Rik	414126
Akap7	432442
Gm1553	432480
Gm17745	432488
Gm5453	432798
Gm16416	432801
Gm5471	432950
A930007A09Rik	432999
Ly6g6f	433099
F630040K05Rik	433111
Sgpp2	433323
Bpifb9b	433492
Kprp	433619
Nom1	433864
Lrrc8b	433926
5730422E09Rik	433966
Vmn1r20	434017
Igkv4-91	434033
Gm10010	434089
Gm20744	434205
Gm21943	434935
Gm5745	436081
Trav15d-1-dv6d-1	436468
Rnase12	497106
Hspa14	50497
Prok2	50501
Ero1l	50527
Cfhr1	50702
Gne	50798
Neu3	50877
Kctd18	51960
Rab11fip5	52055
Agpat5	52123
Tax1bp1	52440
Mrpl48	52443
Echdc1	52665
Ccdc59	52713
Prdx4	53381
Txnl1	53382
Map3k6	53608
Reck	53614
Gpatch11	53951
Ddx20	53975
Pmm2	54128
Irf3	54131
Ccrl2	54199
Tes3-ps	54339
Rpp30	54364
Tcstv1	54382
Cpsf3	54451
Gm5801	545056
Rpl21-ps7	545226
Cyp2c67	545288
Gm13680	545429
BC021767	545551
Gm13272	545648
Zar1l	545824
Scgb2b19	545947
Gm5908	546052
Cyp26c1	546726
Calhm1	546729
Vmn1r170	546944
Eif3i	54709
Nop58	55989
Msln	56047
Ftsj3	56095
Mad2l1	56150
Tro	56191
Hnrnph2	56258
Stam2	56324
Rybp	56353
Scoc	56367
Rab9	56382
Shoc2	56392
Syncrip	56403
Orc6	56452
Actl6a	56456
Tbk1	56480
Nxt1	56488
Zbtb20	56490
Pmfbp1	56523
Pex3	56535
Klk11	56538
Txn2	56551
Mlycd	56690
Crtap	56693
Psrc1	56742
Nfu1	56748
Lgi1	56839
Nelfcd	57314
Gigyf1	57330
Defb46	574081
Fbxo3	57443
Krcc1	57896
Tnfrsf13b	57916
Trem1	58217
Efcc1	58229
Slc35b4	58246
Moxd1	59012
Nup160	59015
Usp14	59025
Arpp19	59046
Bhlhe22	59058
Emcn	59308
Syt9	60510
9530052E02Rik	619321
G630093K05Rik	619327
Gm13889	620695
Gm6177	620750
Actg-ps1	621269
B020010K11Rik	621740
Gm12718	622167
Ccdc107	622404
Gm10021	622931
Gm6444	623672
Gm6462	623924
Cfhr3	624286
Gm9855	624784
Rps13-ps1	625298
Rpl31-ps20	625917
Rps19-ps4	625929
Gm20754	626082
Gm6660	626274
Gm6728	627022
Trav7d-5	627273
Gm6760	627470
Gm6787	627782
Dnah7a	627872
Gm6943	629055
Ighv1-18	629871
Krtap1-4	629873
Ighv1-42	629906
Zfp808	630579
Lce3d	630994
Gm7075	631906
Cdr1	631990
Gm7137	634504
Gm7138	634517
Gm16445	635580
Vmn1r60	636697
Vmn2r61	637873
Tgm7	640543
2810430I11Rik	641385
Nmi	64685
Acot10	64833
Pes1	64934
Defb33	654453
Eefsec	65967
Gng11	66066
Ypel3	66090
Tomm6	66119
Eef1e1	66143
Fbxo36	66153
Alg5	66248
Dimt1	66254
Sec11c	66286
Haus2	66296
Tpd52l2	66314
Atp6v1c1	66335
Nosip	66394
Ctrb1	66473
Slx	664829
Gm7443	665004
Gm7444	665005
Rwdd1	66521
Vmn2r91	665210
2810004N23Rik	66523
Gm7551	665241
2310050C09Rik	66533
Gm7589	665330
Gm7628	665413
Ntpcr	66566
Zscan4e	665848
Krtap4-8	665992
Frmpd1	666060
Snrnp27	66618
Ubr7	66622
Gm8024	666285
Golph3	66629
Gm8054	666340
Gm8074	666383
Sike1	66641
Gm8112	666448
Pspc1	66645
Zfp541	666528
Gm8281	666772
Gm8324	666851
Klhl28	66689
Gm12191	666899
Ms4a4a	666907
Gm8399	666979
Gm8420	667014
Spesp1	66712
Gm10416	667213
Gm8526	667230
Gm8618	667414
Gm8675	667510
Gm8692	667537
Igkv6-14	667881
Alg14	66789
Atg10	66795
Gm8973	668092
Gm13691	668119
Rps3a3	668144
Ccdc109b	66815
Smim7	66818
Fbxo25	66822
Gm9104	668319
Ighv3-3	668438
Ormdl2	66844
Gm9234	668548
Plbd1	66857
Cpne8	66871
Bzw1	66882
Vmn2r88	669149
Chordc1	66917
Tmx2	66958
Ceacam11	66996
Syap1	67043
Gm11554	670482
Ndc80	67052
Gm9507	670880
Gatm	67092
Dynlt3	67117
Arl8b	67166
Yipf5	67180
Gm14496	672125
Fam220a	67238
Gm9564	672498
Agtpbp1	67269
3110009F21Rik	67280
Zc3h13	67302
Zc2hc1a	67306
5730559C18Rik	67313
Bag4	67384
Nudcd1	67429
Snap29	67474
Zswim3	67538
Fibin	67606
Lrp2bp	67620
Lyrm5	67636
Pbdc1	67683
1810037I17Rik	67704
Plgrkt	67759
Zmym4	67785
Sfr1	67788
Atp1b4	67821
Brix1	67832
1700007F19Rik	67850
Uxs1	67883
Fam45a	67894
Mak16	67920
Wdr55	67936
Rpl41	67945
Sugt1	67955
Atad1	67979
Col4a3bp	68018
Rnf146	68031
2700060E02Rik	68045
Akirin1	68050
Atp5s	68055
Fam92a	68099
Nt5c3b	68106
Cmtm3	68119
Fam212a	68176
Rpa1	68275
Krtap6-5	68484
1110008E08Rik	68500
Nsmce2	68501
Tomm5	68512
Cebpzos	68554
Lamtor5	68576
Tab2	68652
1110032A03Rik	68721
Rbfa	68731
Smek1	68734
Mybphl	68753
Trmt61b	68789
1110046J04Rik	68808
Dnaic1	68922
Tmco1	68944
Nol11	68979
1500015L24Rik	68994
1500026H17Rik	69002
Mitd1	69028
Igkv9-129	692182
Zfp688	69234
Dcps	69305
Cypt3	69361
1700019E08Rik	69405
1700026F02Rik	69419
1700026J14Rik	69432
Clic3	69454
Lce3e	69514
Klk10	69540
2310034O05Rik	69571
2310031A07Rik	69621
Pir	69656
Trip13	69716
Nkiras1	69721
Tprkb	69786
Nup43	69912
Vrk2	69922
Scrn1	69938
2810405F15Rik	69974
Gtf3c5	70239
1500035N22Rik	70258
Gprc5c	70355
1700026D11Rik	70371
Cenpl	70454
Pnma1	70481
5730435O14Rik	70538
Dnajb14	70604
Sugp1	70616
Zcchc8	70650
Fam175a	70681
Nup205	70699
Medag	70717
6330407A03Rik	70720
Trak2	70827
4921504E06Rik	70909
4922502N22Rik	70962
4933411E08Rik	71067
Atoh8	71093
4933422A05Rik	71133
Zfp626	71163
4933431G14Rik	71265
Krtap2-4	71453
Usp19	71472
Ifih1	71586
Brox	71678
Pnpt1	71701
Cdc40	71713
Shroom1	71774
Klhl5	71778
Lrrc34	71827
Fbxo30	71865
Tmem79	71913
Tmem123	71929
1600025M17Rik	72030
2010111I01Rik	72061
Jmjd8	72106
Slc37a3	72144
Aifm3	72168
Snx6	72183
1700021F07Rik	72221
1700021J08Rik	72235
Nkg7	72310
Elp6	72341
Mir128-2	723815
Mir298	723832
Mir34b	723849
2610035D17Rik	72386
Mir483	723874
Mir224	723894
Mir541	723941
Mir652	723976
Dnajc25	72429
Tmem87b	72477
Tspyl4	72480
2610316D01Rik	72511
Aldh1b1	72535
Pgam5	72542
Hsdl1	72552
Tmem209	72649
Tbcc	72726
Zfp429	72807
Zdhhc4	72881
Top1mt	72960
Fbxo47	72973
Appl1	72993
Glrx5	73046
3110006O06Rik	73093
3110083C13Rik	73208
1700036O09Rik	73262
1700031A10Rik	73286
1700047L14Rik	73295
1700046C09Rik	73307
1700055D18Rik	73405
Hoxd3os1	73429
Iws1	73473
Samt3	73495
Mir703	735265
Zfp433	73610
Tex19.1	73679
Kif2c	73804
4930404H11Rik	73815
Ppp1r21	73825
4833417C18Rik	73906
Fam151b	73942
Pi16	74116
Actr3	74117
Tmem43	74122
1700030A11Rik	74179
Cep97	74201
Tubgcp2	74237
Gale	74246
Hopx	74318
Polr3c	74414
Tmc5	74424
4933402J15Rik	74425
Neto2	74513
Morc2a	74522
Pck2	74551
Sppl3	74585
Mrpl47	74600
4930429F24Rik	74633
Zfp943	74670
Slc25a54	74686
4930517E11Rik	74702
Rab3il1	74760
Naa15	74838
4930442H23Rik	74894
4930477E14Rik	74949
Tmprss12	75002
Purg	75029
Zbtb49	75079
Uhrf1bp1l	75089
4930512H18Rik	75111
Mir676	751534
Mir680-2	751551
Ccdc146	75172
4930539N22Rik	75203
Ppp1r1c	75276
Parpbp	75317
Ccdc83	75338
4930555F03Rik	75359
Ndufs7	75406
Nop14	75416
Arl5a	75423
Iqcf5	75470
1700003L19Rik	75493
Eppin	75526
Spata45	75558
2310034G01Rik	75579
Ndufaf2	75597
Kxd1	75620
Phf14	75725
Fam184a	75906
4930578G10Rik	75952
Stard3nl	76205
6530402F18Rik	76220
0610040J01Rik	76261
Ankrd36	76389
Pbp2	76400
Haus8	76478
Commd9	76501
Snx7	76561
1700113H08Rik	76640
Creld2	76737
2410152P15Rik	76811
Nlrp14	76858
4930516K23Rik	76875
Chmp5	76959
Ocel1	77090
9430014N10Rik	77248
E130218I03Rik	77490
C030034I22Rik	77533
Msl2	77853
Cyp4f41-ps	77875
Cyp20a1	77951
Sbf1	77980
4930570N18Rik	78050
4930567K20Rik	78056
4930563M20Rik	78213
Armcx1	78248
Rps27a	78294
Arhgap10	78514
B430319G15Rik	78575
Misp	78906
9130019O22Rik	78921
Polr3h	78929
Saal1	78935
Mir758	791071
Gm16495	791278
Gm9867	791389
Spz1	79401
Parp9	80285
N4bp1	80750
Zfhx4	80892
Erap1	80898
Zfp202	80902
Fgf16	80903
Prp2	83380
Dnaja3	83945
Echs1	93747
Pcdhb4	93875
Pcdhb17	93888
Pcdhb19	93890
Pcdhb21	93892
Trim34a	94094
Nans	94181
Strn3	94186
Ddx50	94213
Dtnbp1	94245
Nlrp4f	97895
Nucks1	98415
Hnrnpf	98758
Lpcat4	99010
4933434E20Rik	99650
Sept1	54204
Sept7	235072
Sept10	103080
1700019G17Rik			
1700019L03Rik			
2010001E11Rik			
2810007J24Rik			
4930485B16Rik			
BC030307			
C330013F16Rik			
Clca5			
D15Ertd621e			
Diap2			
Epb4.1l3			
Erbb2ip			
Fthl17			
Ftsj2			
Gene Symbol			
Gm10719			
Gm10721			
Gm11206			
Gm11365			
Gm11542			
Gm11588			
Gm11613			
Gm11656			
Gm11724			
Gm11939			
Gm12410			
Gm12484			
Gm12720			
Gm12823			
Gm12898			
Gm12971			
Gm13218			
Gm13703			
Gm13759			
Gm14258			
Gm14302			
Gm15271			
Gm15492			
Gm15557			
Gm15561			
Gm15864			
Gm15963			
Gm15985			
Gm16343			
Gm16501			
Gm16556			
Gm16575			
Gm17032			
Gm17096			
Gm17140			
Gm17404			
Gm17615			
Gm17728			
Gm20461			
Gm20483			
Gm20512			
Gm21721			
Gm22006			
Gm22013			
Gm22019			
Gm22157			
Gm22233			
Gm22279			
Gm22290			
Gm22351			
Gm22371			
Gm22378			
Gm22530			
Gm22539			
Gm22565			
Gm22582			
Gm22593			
Gm22659			
Gm22739			
Gm22743			
Gm22751			
Gm22761			
Gm22790			
Gm22858			
Gm22865			
Gm22885			
Gm22900			
Gm22939			
Gm23021			
Gm23033			
Gm23164			
Gm23193			
Gm23211			
Gm23222			
Gm23239			
Gm23245			
Gm23297			
Gm23300			
Gm23311			
Gm23315			
Gm23331			
Gm23386			
Gm23437			
Gm23532			
Gm23555			
Gm23601			
Gm23605			
Gm23609			
Gm23643			
Gm23645			
Gm23703			
Gm23708			
Gm23734			
Gm23741			
Gm23757			
Gm2382			
Gm23850			
Gm23852			
Gm23853			
Gm23858			
Gm23916			
Gm23927			
Gm23942			
Gm23948			
Gm23975			
Gm23981			
Gm24082			
Gm24125			
Gm24172			
Gm24189			
Gm24202			
Gm24257			
Gm24272			
Gm24368			
Gm24403			
Gm24514			
Gm24538			
Gm24546			
Gm24588			
Gm24589			
Gm24634			
Gm24690			
Gm24709			
Gm24725			
Gm24750			
Gm24810			
Gm24813			
Gm24844			
Gm25006			
Gm25016			
Gm25020			
Gm25061			
Gm25105			
Gm25150			
Gm25161			
Gm25177			
Gm25202			
Gm25206			
Gm25227			
Gm25261			
Gm25268			
Gm25292			
Gm25295			
Gm25306			
Gm25376			
Gm25440			
Gm25506			
Gm25522			
Gm25528			
Gm25546			
Gm25572			
Gm25596			
Gm25633			
Gm25634			
Gm25650			
Gm25653			
Gm25711			
Gm25717			
Gm25725			
Gm25755			
Gm25768			
Gm25787			
Gm25796			
Gm25820			
Gm25828			
Gm25848			
Gm25852			
Gm25857			
Gm25907			
Gm25920			
Gm25947			
Gm26017			
Gm26018			
Gm26039			
Gm26046			
Gm26070			
Gm26074			
Gm26108			
Gm26163			
Gm26205			
Gm26228			
Gm26245			
Gm26338			
Gm26361			
Gm26406			
Gm26423			
Gm26447			
Gm26483			
Gm26612			
Gm26659			
Gm26755			
Gm26822			
Gm26825			
Gm26826			
Gm26892			
Gm3763			
Gm5068			
Gm5428			
Gm6404			
Gm9765			
LOC101055806			
LOC101056140			
LOC101056278			
LOC102631513			
LOC102631840			
LOC102631961			
LOC102634742			
LOC102634964			
LOC102635234			
LOC102635772			
LOC102636037			
LOC102636436			
LOC102636485			
LOC102636661			
LOC102638052			
LOC102639286			
LOC102640902			
LOC102642201			
LOC102643064			
LOC102643173			
LOC102643284			
LOC625240			
mt-Tf			
mt-Th			
mt-Tk			
mt-Tm			
mt-Tr			
n-R5s154			
n-R5s213			
n-R5s43			
n-R5s52			
n-R5s58			
n-R5s65			
n-R5s84			
n-R5s89			
Rfpl3s			
Rhox7			
Selk			
Selt			
Stxbp3a			
Tceb1			
Tceb3			
